,max_acc_re_raw,std_acc_re_raw,var_acc_re_raw,iqr_acc_re_raw,mad_acc_re_raw,max_acc_re_jerk,min_acc_re_jerk,range_acc_re_jerk,std_acc_re_jerk,var_acc_re_jerk,mad_acc_re_jerk,max_gyro_re_raw,std_gyro_re_raw,var_gyro_re_raw,iqr_gyro_re_raw,mad_gyro_re_raw,max_gyro_re_jerk,min_gyro_re_jerk,range_gyro_re_jerk,std_gyro_re_jerk,var_gyro_re_jerk,mad_gyro_re_jerk,fall_adl_bin,person_id
611,12.234973190407898,1.6636946452666417,2.767879872688897,2.007933026051325,1.038422925047743,1.0211934639088902,-3.26319869046454,4.28439215437343,0.5857179181272488,0.3430654796153186,0.2551498107683843,0.9110076509009132,0.20536933336123817,0.04217656308523937,0.2988914028895125,0.14361708718303523,0.27199278307324753,-0.3939859400524716,0.6659787231257192,0.0736135284521119,0.005418951571169888,0.027229902411045448,-1,P06
624,24.046100987270265,2.6042805779540426,6.782277328708641,3.2020336727348315,1.5086322630208038,4.646783747572687,-3.8080926688675696,8.454876416440257,1.1497593010773324,1.321946450413836,0.35418050106299503,0.9809170658113763,0.1539607706859531,0.023703918910212635,0.20936674214685624,0.09769220445866278,0.3477808911205909,-0.19550879283477973,0.5432896839553707,0.08724914570483142,0.007612413426222902,0.03044949542923364,-1,P06
651,25.877265736549525,2.232653287836106,4.9847407036853735,2.044864619993703,0.9920688890738312,7.551128422271978,-3.9891743144758003,11.540302736747778,1.5139572482711028,2.29206654959261,0.3694000197072711,2.7117026293456297,0.5269151548297003,0.27763958038920705,0.8141094058422528,0.38180798789182946,0.622754914249442,-0.4323573351876777,1.0551122494371197,0.16966451274923197,0.028786046886434297,0.0637697600183954,-1,P06
656,23.683015484730824,2.9052576924171927,8.44052225934927,4.300102426380921,2.0367226622152295,5.855615518199862,-3.1387924511762613,8.994407969376123,1.1754272188269423,1.3816291467592408,0.3409517994932161,1.2341968116957684,0.2120761167219464,0.04497627928386064,0.261944115458285,0.09763384764589,0.2905048309134271,-0.24123175485684606,0.5317365857702732,0.07816557394702497,0.006109856950467829,0.02640600828625636,-1,P06
662,23.701616572293126,2.3982968442944363,5.751827753352651,2.401965472937775,1.2489098950242674,5.319014243523046,-4.103481231718545,9.422495475241591,1.0936024916394946,1.1959664097201108,0.3034885304293695,1.3160935643030856,0.3503540881111474,0.12274798705619361,0.6878642269036155,0.35172346508047914,0.1996018400845324,-0.2965833884597563,0.4961852285442887,0.07651238864358208,0.005854145615946548,0.024582860019268238,-1,P06
665,22.329868923484526,2.6410739773108376,6.975271753628486,4.324428791683383,1.9475454199851452,1.6730307758649943,-1.180005178112653,2.8530359539776473,0.4682831146497556,0.21928907546607615,0.19449970769490577,0.7126651738369147,0.1732210383519517,0.03000552812772832,0.282987305081044,0.10946379345968878,0.09851757211429918,-0.1688159169719243,0.26733348908622345,0.04709546925578439,0.0022179832244225324,0.027044161171698722,-1,P06
671,28.001414260354778,3.3315891229974137,11.099486084474677,2.389218303744812,0.978717408051903,2.404548279792582,-3.7354226890856737,6.139970968878256,1.0334037782665224,1.0679233689355239,0.4246626473734576,1.856686484035471,0.4981566387631822,0.24816003674383164,0.9970792550311336,0.1518329764304544,0.14668359235344797,-0.7133773129022833,0.8600609052557313,0.10338085671037632,0.010687601534171361,0.023473834325291654,-1,P06
672,25.422385313144794,3.436649282110582,11.810558288231178,3.860301352330687,1.970580802782373,1.400208753279962,-2.8640302593956335,4.264239012675596,0.4966694433594435,0.24668053596697945,0.2547552007327276,1.4291926287243437,0.37353965529375754,0.1395318740769792,0.7629823301748642,0.36701361101080604,0.07953583071055315,-0.4139617514843517,0.49349758219490486,0.05331704041620527,0.002842706798743266,0.022148218550014587,-1,P06
674,22.341922812954127,2.2422134604073016,5.027521202031686,1.776862463891824,0.9089234859865396,3.36436502872186,-3.7171236177763056,7.0814886464981655,0.7363036106913474,0.5421430071171153,0.19851463576613781,1.4521139245940726,0.34172080855018144,0.11677311099618974,0.586917198523436,0.25731263480792466,0.20946257674437507,-0.296124895797231,0.5055874725416061,0.06970390324184524,0.004858634127148523,0.02679958517052422,-1,P06
687,20.343388520352256,1.6224525964368683,2.6323524276847357,1.6318743703418992,0.7490890031230162,8.9715091921374,-3.522942300381919,12.49445149251932,1.262745615888274,1.594526490445056,0.20826304120524064,2.1703467142371515,0.6369725922107166,0.40573408322763976,1.0490363561055949,0.2833895829684526,0.20826393467043158,-0.28802157594010636,0.49628551061053794,0.0905557740961297,0.008200348222149274,0.025086970158966188,-1,P06
